
------------------Resources used from 201901 to 202012 on Knight Landing------------------
date        username    account              localCluster       num.jobs
                                               Consumed/h
------------------------------------------------------------------------------------------
20200117    a07cms02    Pra18_4658             3405:11:40            942
20200118    a07cms02    Pra18_4658           466984:44:56           1016
20200119    a07cms02    Pra18_4658             6430:02:32            937
20200120    a07cms02    Pra18_4658           376480:54:16            629
20200507    tboccali    Pra18_4658              321:49:44              3
20200507    a07cms04    Pra18_4658            40666:30:44           2063
20200507    a07atl01    Pra18_4658            19429:12:20           1223
20200507    a07lhc01    Pra18_4658             1121:45:16             40
20200508    a07lhc01    Pra18_4658            21986:02:36             48
20200508    a07atl01    Pra18_4658           261010:06:16           1082
20200508    a07cms04    Pra18_4658            71655:48:44           3282
20200509    a07cms04    Pra18_4658            81894:54:44           1012
20200509    a07lhc01    Pra18_4658            14276:49:36             78
20200509    a07atl01    Pra18_4658            96733:44:24            616
20200510    a07cms04    Pra18_4658           287458:03:44            841
20200510    a07lhc01    Pra18_4658            27387:07:56             36
20200510    a07atl01    Pra18_4658           144907:58:52            203
20200510    dspiga00    Pra18_4658              238:56:40              2
20200511    a07cms04    Pra18_4658           151213:56:32            751
20200511    a07atl01    Pra18_4658            69959:30:52             74
20200511    a07lhc01    Pra18_4658            27754:19:56             28
20200512    a07cms04    Pra18_4658           341867:41:44           1411
20200512    a07lhc01    Pra18_4658            29688:09:28             21
20200512    a07atl01    Pra18_4658            21259:15:20             27
20200512    tboccali    Pra18_4658               58:54:52              5
20200513    a07cms04    Pra18_4658           172350:52:24           1015
20200513    a07lhc01    Pra18_4658             8184:24:16              5
20200513    a07atl01    Pra18_4658                0:00:00             20
20200513    tboccali    Pra18_4658             1333:27:40              8
20200514    a07atl01    Pra18_4658                0:00:00             20
20200514    a07cms04    Pra18_4658                0:00:00            640
20200515    a07atl01    Pra18_4658               74:54:48            200
20200515    a07cms04    Pra18_4658            36061:55:48           2429
20200515    dspiga00    Pra18_4658               30:04:16              1
20200515    tboccali    Pra18_4658                0:57:48              1
20200516    a07lhc01    Pra18_4658            44375:59:16            196
20200516    a07cms04    Pra18_4658           181350:39:16           7962
20200516    a07atl01    Pra18_4658              259:27:28            922
20200516    dspiga00    Pra18_4658               99:45:08              6
20200517    dspiga00    Pra18_4658              794:38:12              1
20200517    a07cms04    Pra18_4658           176467:14:04           7789
20200517    a07lhc01    Pra18_4658            14676:43:24            345
20200517    a07atl01    Pra18_4658              428:22:52           1140
20200517    a07ali01    Pra18_4658                1:15:56              4
20200518    a07cms04    Pra18_4658           339493:24:00           5073
20200518    a07lhc01    Pra18_4658            13663:52:56            287
20200518    a07atl01    Pra18_4658              856:48:00            970
20200519    a07lhc01    Pra18_4658            28092:54:56            102
20200519    a07atl01    Pra18_4658            10081:44:12            273
20200519    a07cms04    Pra18_4658              227:44:36             10
20200519    a07ali01    Pra18_4658               27:18:48              2
20200519    tboccali    Pra18_4658               40:15:08              1
20200519    fnoferin    Pra18_4658                6:01:32              3
20200520    a07cms04    Pra18_4658           639692:32:48            408
20200520    a07lhc01    Pra18_4658            33614:43:24            225
20200520    fnoferin    Pra18_4658             1249:17:32              7
20200520    a07atl01    Pra18_4658            11837:15:04             31
20200521    a07cms04    Pra18_4658            39812:54:16            165
20200521    a07lhc01    Pra18_4658            19944:24:00            225
20200521    a07ali01    Pra18_4658             3079:25:04              6
20200521    a07atl01    Pra18_4658            43632:24:28            367
20200522    a07cms04    Pra18_4658           544480:20:40            814
20200522    a07lhc01    Pra18_4658            43149:46:40            304
20200522    a07atl01    Pra18_4658           150036:54:00            993
20200522    a07ali01    Pra18_4658             1246:53:36              8
20200522    a07ali00    Pra18_4658                0:10:12              2
20200523    a07lhc01    Pra18_4658            16101:14:52            282
20200523    a07atl01    Pra18_4658           194743:27:44            991
20200523    a07ali01    Pra18_4658             2797:14:12             25
20200523    a07cms04    Pra18_4658              811:07:36            923
20200523    a07ali00    Pra18_4658                1:22:44             16
20200524    a07cms04    Pra18_4658           415447:10:16            998
20200524    a07ali01    Pra18_4658             3180:59:00              3
20200524    a07atl01    Pra18_4658           222060:40:04           1290
20200524    a07lhc01    Pra18_4658             6632:18:16           1126
20200524    a07ali00    Pra18_4658                4:22:56             24
20200525    a07cms04    Pra18_4658            42908:52:08            912
20200525    a07ali01    Pra18_4658            12745:07:36             16
20200525    a07lhc01    Pra18_4658            33394:54:48            262
20200525    a07atl01    Pra18_4658           261187:33:56            889
20200525    a07ali00    Pra18_4658                1:35:12             20
20200525    fnoferin    Pra18_4658              165:55:12              3
20200525    avalassi    Pra18_4658              206:13:44             15
20200525    tboccali    Pra18_4658                0:00:00              1
20200526    a07lhc01    Pra18_4658            38289:11:40            209
20200526    a07cms04    Pra18_4658           249285:34:56           1019
20200526    a07ali01    Pra18_4658             6084:47:28              3
20200526    a07atl01    Pra18_4658           163334:57:40            562
20200526    avalassi    Pra18_4658             3264:44:12              2
20200526    a07ali00    Pra18_4658                0:07:56              2
20200527    a07cms04    Pra18_4658           224793:43:12            980
20200527    a07ali01    Pra18_4658             9933:43:24             31
20200527    a07atl01    Pra18_4658            96202:30:32            388
20200527    a07lhc01    Pra18_4658             4228:32:32           1579
20200528    a07atl01    Pra18_4658           395547:58:20            459
20200528    a07lhc01    Pra18_4658            11817:16:00            381
20200528    a07ali01    Pra18_4658              528:48:48              9
20200528    a07cms04    Pra18_4658             7388:50:32           1119
20200529    a07ali01    Pra18_4658            12719:20:36              7
20200529    a07cms04    Pra18_4658            34962:23:20            954
20200529    a07atl01    Pra18_4658           164798:31:44            700
20200529    a07lhc01    Pra18_4658             6950:56:28            602
20200530    a07cms04    Pra18_4658           303307:34:40            948
20200530    a07ali01    Pra18_4658             4297:37:08              2
20200530    a07atl01    Pra18_4658           232117:29:24            906
20200530    a07lhc01    Pra18_4658             1858:01:28             64
20200531    a07cms04    Pra18_4658            57853:51:08            960
20200531    a07ali01    Pra18_4658             6126:19:40              3
20200531    a07atl01    Pra18_4658            68423:35:00            129
20200601    a07cms04    Pra18_4658           368859:58:28            824
20200601    a07ali01    Pra18_4658             3264:22:40              1
